1055,1069,1174;1055,1069,1189;1055,1174,1189;1189,1069,1174
1055,1174,1175;1055,1174,1189;1055,1175,1189;1189,1174,1175
361,346,225;361,346,226;361,225,226;226,346,225
361,240,225;361,240,360;361,225,360;360,240,225
361,225,240;361,225,226;361,240,226;226,225,240
361,225,345;361,225,360;361,345,360;360,225,345
361,240,241;361,240,226;361,241,226;226,240,241
361,345,225;361,345,346;361,225,346;346,345,225
820,835,715;820,835,2043;820,715,2043;2043,835,715
820,715,700;820,715,2043;820,700,2043;2043,715,700
701,580,596;701,580,581;701,596,581;581,580,596
701,580,595;701,580,596;701,595,596;596,580,595
701,700,595;701,700,580;701,595,580;580,700,595
701,595,716;701,595,596;701,716,596;596,595,716
701,715,716;701,715,595;701,716,595;595,715,716
701,700,715;701,700,595;701,715,595;595,700,715
701,836,716;701,836,835;701,716,835;835,836,716
701,715,700;701,715,835;701,700,835;835,715,700
701,716,715;701,716,835;701,715,835;835,716,715
701,821,836;701,821,835;701,836,835;835,821,836
